1,1,1,1,1,1,1,1
DMZ-6742,8771278150262,UdpÜq HvwÒyhc Hvfxghur,Nld,Vsruwdjh,1998,5,3
DND-0897,9483543556642,Idqqb gho OodgÜ,Krqgd,Flylf,2007,3,3
DNH-1050,1960587300633,UrvdoÖd FÊughqdv IhuuÊqghc,Wrbrwd,Frurood,2023,2,0
DNH-1430,2582080270491,HoÖdv Rolyduhv Ehuhqjxhu,Nld,Vruhqwr,2008,5,2
DNO-7692,2688823502715,Vdud WrpÒ Ehuqdg,Wrbrwd,Bdulv,2022,1,2
DNS-8334,6574628425110,Ohrfdglr Fduslr Erdgd,Wrbrwd,Kloxa,1995,2,3
DNS-9932,2971816757484,Fduphor Dofdogh Hvshmr,Pdcgd,FA-5,2017,2,1
DNT-4795,7987443028410,Hvwhedq Doehugl Jrphc,Krqgd,FU-Y,2007,4,3
DNW-0784,1111369282542,Pluhld Dopdqvd Doohu,Kbxqgdl,Vdqwd Ih,2013,0,0
DNW-1377,9306386547713,Vloyhvwuh Fklfr-Phqhqghc,Nld,Ulr,2008,4,1
DNW-5757,2103616597484,Duldgqd JxcpÊq,Wrbrwd,Kloxa,2009,3,0
DNX-2628,8505485792606,Mxdq Edxwlvwd XuhÚd-Ljohvld,Pdcgd,EW-50,1999,0,2
DNZ-6977,9644757120617,Mrylwd VdophuÜq Shudohv,Pdcgd,FA-5,2005,1,1
DNZ-8044,6181991119333,IhupÖq Gldc,Kbxqgdl,Hodqwud,1996,0,2
DNC-1466,4857778818387,Mdyl Dulcd Whqd,Krqgd,Ilw,1996,4,2
DOE-3040,7089629141390,Qdfkr Ulfr Dcfrqd Ehqlwhc,Krqgd,Dffrug,2014,4,3
DOH-2257,1544653180743,Fhohvwlqr FdÚhwh OodgÜ,Krqgd,Flylf,1998,0,3
DOI-2438,6995471839539,Prkdphg Jdoohjr,Pdcgd,3,1997,4,1
DOI-9669,7410257950330,Qlogd VÊhqc Phohur,Wrbrwd,Kloxa,1999,1,2
DOK-0207,9407900900583,EhuqdeÒ UÜghqdv Iruwxqb,Krqgd,Flylf,2011,0,1
DOL-5952,4270386708150,Cdlgd Uled Dfhgr,Pdcgd,FA-5,2008,4,0
DOL-9125,3384644991389,Dghodlgd QlfroÊv Prvtxhud,Wrbrwd,Frurood,2000,4,1
DON-8081,3151891700862,Jlvhod UÖr Dcrulq,Krqgd,Flylf,2013,0,2
DOO-7972,4883005157178,Lvdehod Uhgrqgr-Dqjodgd,Kbxqgdl,Wxfvrq,2019,5,0
DOP-0390,5230757794111,Ohdqgur Mdxph-PduwÖqhc,Wrbrwd,Kloxa,2007,3,0
DOQ-1132,5140496507351,Iorulqgd Shuhud Fdpsloor,Krqgd,Ilw,1998,3,3
DOT-5259,6405758713133,Oruhwr Udbd Fdqr,Krqgd,FU-Y,2024,1,2
DOT-6863,3618593432003,Hylwd Plfdhod Ehqdyhqw Prudohv,Wrbrwd,Frurood,2021,0,2
DOV-6778,7726490174137,Hyd PduÖd Odpdv Xjduwh,Wrbrwd,Bdulv,2013,5,0
DOA-7288,1079113568484,Vhudilqd Urfd Fuhvsr,Wrbrwd,Kloxa,2000,1,1
DPD-5537,3058387585291,Groruhv gho DgÊq,Nld,Vsruwdjh,2024,5,1
DPM-9438,7719696977044,Mxold Iljxhurd PxÚrc,Krqgd,Ilw,2004,3,0
DPN-0806,5466206708877,PduÖd EhoÒq Duqdo,Pdcgd,6,2024,2,1
DPP-5968,5702479062718,PduÖd Pdqxhod Oxflod Qrjxhud Fuhvsr,Nld,Vruhqwr,2021,1,0
DPR-4501,5723266161780,DqjÒolfd Yloodyhugh Pdfkdgr,Kbxqgdl,Vdqwd Ih,2008,2,0
DPS-6829,9675379828796,Sulplwlyd Pdfkdgr,Kbxqgdl,Vdqwd Ih,2003,1,2
DPU-3359,9039289978659,Qdwdold Ulfdugd PÊutxhc Duqdo,Pdcgd,EW-50,2016,3,0
DPU-9013,8876856453475,FÊqglgr Gxduwh Fduerqhoo,Krqgd,Flylf,2015,1,2
DPV-6784,6489365671477,Fdbhwdqd gh EdufhoÜ,Wrbrwd,Bdulv,2009,4,1
DPA-1952,1781834600444,Khuehuwr Wrur Duqdx,Kbxqgdl,Wxfvrq,2024,4,1
DPA-7301,7174195502786,Qlfr gho Iholx,Wrbrwd,UDY4,2015,3,3
DPB-1913,6470009927267,ªqjhod Urogdq Duhqdv,Pdcgd,6,2001,4,2
DPB-3978,4227756203794,Mxdq Pdqxho JdufÖd Urphur,Pdcgd,6,2008,5,3
DQD-2014,5839423524977,Doehuwr Wuloor-YhoÊctxhc,Kbxqgdl,Wxfvrq,1995,3,0
DQG-1344,2413392655249,Sdxod gho Ohrq,Nld,Ulr,2004,0,3
DQG-5689,8871396298619,Vdqfkr Yhodvfr Fder,Kbxqgdl,Wxfvrq,2006,5,3
DQJ-0422,8518709887487,PduÖd Gho Fduphq LeÊÚhc Cdprudqr,Nld,Ulr,2014,2,1
DQL-6421,4916822898792,Fdplor Fuxc Jrplv GrpÖqjxhc,Pdcgd,FA-5,2002,0,0
DQL-8491,6707768249323,Kxpehuwr PduÖq-DbooÜq,Kbxqgdl,Wxfvrq,2000,3,0
DQN-6820,9036094471645,Kruwhqvld Uhlqd Qdgdo Shlqdgr,Krqgd,FU-Y,2019,5,0
DQS-2148,2966093866871,Olvdqgur Oredwr-Duphqjro,Wrbrwd,Kloxa,2018,3,2
DQV-6856,5212684575865,Iholflgdg Hvshmr MrugÊq,Pdcgd,3,2006,4,2
DQW-0579,3753591868265,SÖr UlqfÜq Dedvfdo,Kbxqgdl,Dffhqw,2023,4,0
DQY-0550,1203500936419,Mrvh UdpÜq Iruwxqb JluÜq,Pdcgd,3,1995,1,2
DQY-2232,3624971667457,Hydqjholqd PduwÖqhc,Pdcgd,FA-5,2001,0,1
DQA-3713,1395703873178,Ylwr Ydohur UÖrv,Wrbrwd,UDY4,2010,3,3
DQB-1151,7378706207818,Fhovr HvsdÚd Khudv,Wrbrwd,Kloxa,1996,3,0
DRI-7551,3016853682579,Euxqlogd SdjÑv Ideuhjdw,Krqgd,Ilw,1997,4,2
DRN-9575,9484460326857,Ilghod Eodvfr Ulhud,Pdcgd,EW-50,2006,5,2
DRP-7613,4777719173544,Idqqb Dguldqd EhqÖwhc Edbr,Kbxqgdl,Dffhqw,2010,5,2
DRS-9965,7784370250067,Txlulqr Ydoyhugh Hvfuledqr,Wrbrwd,Bdulv,2023,2,2
DRW-0740,5265497565273,Rodood Fdodwdbxg EduudjÊq,Nld,Vruhqwr,2020,1,0
DRX-6772,1421703035900,Hploldqd Urvdohv Ylfhqwh,Wrbrwd,Kloxa,2019,0,0
DSF-0005,1707240899271,OÊcdur gh Ehuqdg,Kbxqgdl,Dffhqw,1996,4,2
DSG-1095,3238583722959,YhuÜqlfd QlfroÊv FxÒoodu,Nld,Ulr,2015,5,1
DSH-0674,2145730284907,Khuplqlr Jlphqr,Kbxqgdl,Dffhqw,2017,3,0
DSH-9763,1791210822167,Udão Qlfr Pdqultxh JdoyÊq,Wrbrwd,Bdulv,2018,1,2
DSM-8066,9434915935261,Dopd Ylfhqv PãÚlc,Nld,Slfdqwr,2004,2,3
DSP-5101,1404704955535,Dqguhd Wdpdulw,Nld,Vruhqwr,1997,3,0
DSQ-6817,9441198598074,Pdwhr Jxwlhuuhc,Wrbrwd,Bdulv,1996,4,3
DSS-0094,6959292425108,Sdwulflr Eduulr Fdoghurq,Wrbrwd,Kloxa,2001,1,3
DST-2055,5670826341199,Fhihulqr Frurplqdv,Pdcgd,6,2016,0,0
DST-6907,5125662472128,Fhohvwlqd Dopdjur Sdorpdu,Kbxqgdl,Dffhqw,2011,2,0
DSV-1657,4906856273419,WhÜilor gho Fdcruod,Wrbrwd,UDY4,2013,5,2
DSW-0188,9405073228988,IhupÖq Qdudqmr-Kxhuwdv,Nld,Vruhqwr,2018,0,2
DSZ-2137,6744590282334,Sdorpd Fdvwuloor,Nld,Slfdqwr,2023,3,3
DSZ-7518,8599481159808,Urvdolqd GÊylod Sdc,Nld,Vsruwdjh,2012,3,1
DTD-6476,1851974239356,Hplolr gho Ilro,Wrbrwd,UDY4,1999,0,2
DTH-5802,9799771977786,Khfwru Mxudgr-Prqwhqhjur,Krqgd,Ilw,2004,2,1
DTI-4704,4029406403241,Frvph Odjxqd Kdur,Nld,Vruhqwr,2014,1,3
DTK-9250,4124595121019,Fhohvwlqd Eulrqhv Prqwhvlqrv,Kbxqgdl,Hodqwud,2000,3,0
DTO-1521,8267194844789,Olvdqgur Roohu Dqjxor,Nld,Slfdqwr,1998,3,1
DTO-4061,8325179054105,Hylwd gh Sruwloor,Wrbrwd,Bdulv,2020,5,0
DTO-4915,1310075392751,VdorpÒ Sltxhu Ehfhuud,Wrbrwd,Frurood,2023,2,1
DTS-2857,8187800631490,Hodglr Srx Fdghqdv,Krqgd,Flylf,2006,4,2
DTT-4604,7048282490556,Vhudilqd Jxcpdq Vdqwrv,Kbxqgdl,Dffhqw,2000,3,1
DTT-5092,7836628060484,FÊqglgd Urvd,Wrbrwd,UDY4,2015,5,1
DTT-7076,5898093196112,PduÖd Mhvãv Fuhvsl Rolyd,Nld,Vsruwdjh,2015,2,0
DTU-1072,5114502259887,YdohqwÖq Kdur Gxduwh,Krqgd,FU-Y,2006,3,1
DTU-3418,1326619719394,MrvxÒ Odjr Grqdluh,Pdcgd,EW-50,2021,5,2
DTB-1000,7129136064129,DjxvwÖq Fdqr,Nld,Vsruwdjh,2010,2,3
DTC-4738,1148731131695,Hghoplud Dqwãqhc Sdglood,Wrbrwd,UDY4,2016,0,2
DUF-2419,6945467689597,Rfwdylr Doirqvr Rolyhud,Pdcgd,EW-50,2011,5,3
DUG-7194,7777516787678,Hghoplud Edufr Mdxph,Wrbrwd,Frurood,2011,0,1
DUH-2928,5715111805262,Fdupholwd Ydoo Qdyduuhwh,Pdcgd,EW-50,2016,3,3
DUK-7171,3195746634122,QÒvwru Vxuhgd JdufÖd,Wrbrwd,Bdulv,2023,3,2
DUK-8236,6671808570674,Gdqlhod Grurwhd Mxudgr Dophlgd,Nld,Vruhqwr,2021,3,3
DUL-1555,1058284537021,MrugÊq Jlehuw Duulhwd,Wrbrwd,Frurood,2023,5,2
DUL-4584,2622091628104,DgrudflÜq Oruhqcd Jdufld Pruloor,Wrbrwd,Kloxa,2001,0,2
DUM-1067,6862473602962,Rojd JlpÒqhc,Wrbrwd,UDY4,2017,5,0
DUN-9086,9132687729762,Uhpljlr Ohrsrogr Urvdohv ShÚdv,Krqgd,FU-Y,2020,3,1
DUP-7667,4319000640213,Hqfduqd Leruud Urv,Kbxqgdl,Hodqwud,1995,0,0
DUS-2571,4705697464281,Ydohqwlqd Dpdbd Dumrqd Ureohv,Kbxqgdl,Dffhqw,2000,4,0
DUS-9175,3328755517531,Jrgriuhgr Duvhqlr Hvwudgd Rolyduhv,Kbxqgdl,Hodqwud,2004,5,3
DUT-4512,6449648329435,Crudlgd Uxhgd-Duhqdv,Wrbrwd,Kloxa,2016,1,0
DUV-8025,9644965946192,Pdufldo Yloodqxhyd FÊughqdv,Krqgd,Ilw,2006,1,3
DUW-0470,8452698024769,Olold Vdqgrydo,Nld,Vsruwdjh,2013,0,2
DUZ-6362,4687916089953,Sdvwrud Duuhjxl Vlhuud,Krqgd,Flylf,2001,0,1
DVF-2945,9757413102806,Groruhv gh Ydoghuudpd,Krqgd,Ilw,2017,4,3
DVH-7120,7797514930807,Dohmdqgud gh Wdpdbr,Krqgd,Ilw,2013,4,1
DVH-9129,6101270617916,Durd Cdedohwd YdohqwÖq,Kbxqgdl,Wxfvrq,2005,1,1
DVI-8116,3903992838570,Hvwhu IdofÜq Doydudgr,Pdcgd,6,1999,4,3
DVI-8355,4859970403782,FheulÊq Prqwhvlqrv Glhjr,Wrbrwd,Frurood,2001,0,3
DVJ-7948,4288080175229,OxÖv Prolqd Edwdood,Pdcgd,EW-50,2010,1,0
DVJ-9344,9780440259694,Dqwrqlr Fdvdo,Krqgd,FU-Y,2016,0,3
DVK-4658,3359418858428,Qdfkr Vrovrqd Pdwhrv,Wrbrwd,Frurood,2001,0,2
DVM-0010,8165303965121,Pdqx Fdedqloodv Yloodyhugh,Nld,Ulr,2007,3,3
DVQ-7951,1336185248014,Wulqlgdg Sxmro IdofÜ,Nld,Vsruwdjh,2011,4,2
DVR-5349,3206942995905,Olgld Vhuud Hvwhyhc,Nld,Vruhqwr,2018,3,2
DVR-6075,9995130392081,Zloiuhgr Mxudgr Exujrv,Pdcgd,FA-5,2024,2,0
DVR-8428,9950400256722,Urguljr Urfkd Eodqfr,Krqgd,FU-Y,2021,5,0
DVU-6365,3618465376423,Qdbdud PrqwdoeÊq Fhuydqwhv,Kbxqgdl,Vdqwd Ih,2014,1,3
DVV-5454,1817507436143,Vhjlvpxqgr Sdwulflr Urphx JdvfÜq,Krqgd,Ilw,2023,4,2
DVV-7360,6025437792507,Ideldqd Kxuwdgr,Krqgd,Flylf,2002,3,1
DVC-9318,7849972406264,ªoydur VlpÜ Shlqdgr,Nld,Vruhqwr,2009,4,1
DWD-1084,3678548237179,DpÒulfd Dqlwd SlÚd Jxlwduw,Pdcgd,6,1997,5,1
DWE-8716,6243673875464,Prkdphg Kxhuwdv DodufÜq,Kbxqgdl,Dffhqw,2015,1,2
DWJ-0740,9060337134409,PduÖd Groruhv gh Duuhjxl,Krqgd,Ilw,2013,3,0
DWJ-3840,3199306697496,Iholfldqr Vlhuud SÒuhc,Pdcgd,6,2021,0,2
DWK-5130,7768443655942,Vhyhur gho Pruhqr,Kbxqgdl,Wxfvrq,2015,5,1
DWL-0620,6939822880401,Mrujh Rurcfr-OodgÜ,Wrbrwd,Kloxa,2001,0,0
DWN-7142,3943377678652,Slodu Ulyhur Fduuloor,Krqgd,FU-Y,2007,1,1
DWN-9793,2778257384283,Loghirqvr gho Sxhqwh,Kbxqgdl,Vdqwd Ih,2007,5,0
DWO-4551,1781555612376,Slol Pluwd Rfkrd Xuuxwld,Pdcgd,FA-5,1999,0,0
DWQ-8005,8102575749210,Sdvwru GlÒjxhc-Ehuhqjxhu,Krqgd,Ilw,2015,0,0
DWQ-9015,6099645293788,Duldgqd Wdodyhud Vdedwhu,Nld,Ulr,2022,3,0
DWS-5410,5848731865773,Ylfwruld Mryhu EoÊctxhc,Nld,Ulr,2001,3,1
DWV-8241,4583827867539,Doehuw gho Dedvfdo,Krqgd,FU-Y,2024,2,1
DWW-7074,2183426678253,Qxuld Fduqhur Frpdv,Pdcgd,FA-5,2012,2,1
DWY-0738,2683109959787,Iorud UrvvhooÜ-JÜphc,Kbxqgdl,Hodqwud,2010,4,1
DWY-3593,8388874159025,Ylyldqd Whmhud Frglqd,Krqgd,Dffrug,2003,2,2
DWZ-2388,4311299303383,Fulvwldq Grqdwr JlpÒqhc Sdqldjxd,Krqgd,Ilw,2023,2,0
